Instance,Optimal,LS1_Quality,LS1_Size,LS1_Time,LS1_RelErr,LS2_Quality,LS2_Size,LS2_Time,LS2_RelErr
large1.in,50,50,50,123.48,0.0,50,50,2.52,0.0
large10.in,221,317.3,317.3,573.56,0.4357,317.86,317.86,2.71,0.4383
large11.in,40,56,56,103.44,0.4,56,56,1.23,0.4
large12.in,15,18,18,2.29,0.2,18,18,0.41,0.2
large2.in,19,20,20,1.34,0.0526,20,20,0.26,0.0526
large3.in,15,17,17,3.62,0.1333,17,17,0.64,0.1333
large4.in,91,152,152,293.07,0.6703,152,152,1.95,0.6703
large5.in,6,7.7,7.7,2.51,0.2833,8,8,0.45,0.3333
large6.in,6,7,7,2.16,0.1667,7,7,0.64,0.1667
large7.in,95,172,172,490.69,0.8105,172,172,3.18,0.8105
large8.in,5,5.7,5.7,1.07,0.14,6,6,0.38,0.2
large9.in,14,16,16,3.61,0.1429,16,16,0.57,0.1429
small1.in,5,5,5,0.16,0.0,5,5,0.09,0.0
small10.in,2,2,2,0.11,0.0,2.29,2.29,0.09,0.1429
small11.in,4,4,4,0.15,0.0,4,4,0.1,0.0
small12.in,3,3,3,0.14,0.0,3.71,3.71,0.1,0.2381
small13.in,2,2,2,0.1,0.0,2.43,2.43,0.09,0.2143
small14.in,2,2,2,0.1,0.0,2,2,0.1,0.0
small15.in,2,2,2,0.11,0.0,2.14,2.14,0.1,0.0714
small16.in,2,2,2,0.12,0.0,2.57,2.57,0.1,0.2857
small17.in,2,2,2,0.12,0.0,2.57,2.57,0.11,0.2857
small18.in,2,2,2,0.12,0.0,2.71,2.71,0.1,0.3571
small2.in,3,3,3,0.11,0.0,3,3,0.08,0.0
small3.in,5,5,5,0.14,0.0,5.29,5.29,0.09,0.0571
small4.in,4,4,4,0.13,0.0,4.14,4.14,0.09,0.0357
small5.in,5,5,5,0.17,0.0,5.57,5.57,0.11,0.1143
small6.in,3,3,3,0.17,0.0,3.43,3.43,0.09,0.1429
small7.in,3,3,3,0.11,0.0,3.14,3.14,0.09,0.0476
small8.in,2,2,2,0.1,0.0,2,2,0.08,0.0
small9.in,3,3,3,0.13,0.0,3.43,3.43,0.09,0.1429
test1.in,2,2,2,0.09,0.0,2,2,0.09,0.0
test2.in,2,2,2,0.1,0.0,2.14,2.14,0.09,0.0714
test3.in,6,6,6,0.11,0.0,6,6,0.09,0.0
test4.in,4,4,4,0.09,0.0,4,4,0.08,0.0
test5.in,4,4,4,0.11,0.0,4,4,0.08,0.0
